# TUM trajectory format
# timestamp tx ty tz qx qy qz qw
1762813562.250867128 1.599014 -0.768002 0.000000 0.000000 0.000000 -0.495669 0.868512
1762813564.918171883 1.621289 -1.108789 0.000000 0.000000 0.000000 -0.489194 0.872175
1762813566.424030066 1.620951 -1.281979 0.000000 0.000000 0.000000 -0.417526 0.908665
1762813567.703021526 1.692277 -1.352573 0.000000 0.000000 0.000000 -0.328085 0.944648
1762813569.310009241 1.750907 -1.412784 0.000000 0.000000 0.000000 -0.241089 0.970503
1762813580.094885588 1.868600 -1.464105 0.000000 0.000000 0.000000 -0.128798 0.991671
1762813580.775683641 1.733560 -1.520168 0.000000 0.000000 0.000000 -0.018733 0.999825
1762813581.466533899 1.632627 -1.503786 0.000000 0.000000 0.000000 0.080520 0.996753
1762813582.065983295 1.579178 -1.459195 0.000000 0.000000 0.000000 0.183545 0.983011
1762813582.625389338 1.567926 -1.413376 0.000000 0.000000 0.000000 0.288785 0.957394
1762813583.305717468 1.476919 -1.368624 0.000000 0.000000 0.000000 0.359825 0.933020
1762813584.128140450 1.488815 -1.279097 0.000000 0.000000 0.000000 0.465183 0.885215
1762813584.907136679 1.427821 -1.199569 0.000000 0.000000 0.000000 0.559281 0.828978
1762813585.953860760 1.438998 -1.108569 0.000000 0.000000 0.000000 0.659365 0.751823
1762813587.103893042 1.357904 -1.044083 0.000000 0.000000 0.000000 0.708819 0.705390
1762813588.569959641 1.304817 -0.947454 0.000000 0.000000 0.000000 0.767151 0.641467
1762813591.454421520 1.194362 -0.773239 0.000000 0.000000 0.000000 0.834523 0.550973
1762813594.423961163 1.121770 -0.538741 0.000000 0.000000 0.000000 0.844965 0.534822
1762813597.320469141 0.972418 -0.298981 0.000000 0.000000 0.000000 0.868825 0.495119
1762813600.217254162 0.876586 -0.104429 0.000000 0.000000 0.000000 0.877972 0.478712
1762813603.160368681 0.754329 0.134689 0.000000 0.000000 0.000000 0.876740 0.480964
1762813606.107550859 0.632240 0.346180 0.000000 0.000000 0.000000 0.884302 0.466914
1762813608.866371393 0.534387 0.578900 0.000000 0.000000 0.000000 0.883023 0.469329
1762813611.513171673 0.408212 0.805994 0.000000 0.000000 0.000000 0.903372 0.428857
1762813614.049239874 0.258501 0.910085 0.000000 0.000000 0.000000 0.916531 0.399963
1762813616.707008839 0.078341 1.111619 0.000000 0.000000 0.000000 0.912247 0.409640
1762813619.347031355 -0.085091 1.283666 0.000000 0.000000 0.000000 0.904447 0.426586
1762813622.540116787 -0.304718 1.462444 0.000000 0.000000 0.000000 0.870005 0.493042
1762813624.657358408 -0.397420 1.774249 0.000000 0.000000 0.000000 0.813192 0.581996
1762813627.488571644 -0.544783 1.976078 0.000000 0.000000 0.000000 0.777346 0.629073
1762813629.403845787 -0.679949 2.024616 0.000000 0.000000 0.000000 0.733710 0.679462
1762813630.659941912 -0.742044 2.128618 0.000000 0.000000 0.000000 0.678433 0.734662
1762813632.380955696 -0.701569 2.377385 0.000000 0.000000 0.000000 0.590474 0.807057
1762813634.973837137 -1.558243 2.271794 0.000000 0.000000 0.000000 0.714115 0.700028
1762813636.147140265 -0.744478 2.584269 0.000000 0.000000 0.000000 0.558406 0.829568
1762813639.889846325 -1.654850 2.594978 0.000000 0.000000 0.000000 0.711202 0.702988
1762813641.295279264 -1.607074 2.828366 0.000000 0.000000 0.000000 0.622036 0.782989
1762813642.607005835 -1.534163 2.927730 0.000000 0.000000 0.000000 0.533996 0.845487
1762813643.526592493 -1.448646 2.980926 0.000000 0.000000 0.000000 0.445019 0.895521
1762813646.487320662 -1.384264 3.112604 0.000000 0.000000 0.000000 0.531171 0.847265
1762813647.156984806 -1.475095 3.175061 0.000000 0.000000 0.000000 0.644534 0.764576
1762813647.820116758 -1.598811 3.226419 0.000000 0.000000 0.000000 0.744958 0.667112
1762813648.495595694 -1.595492 3.286475 0.000000 0.000000 0.000000 0.837618 0.546256
1762813649.135453224 -1.774017 3.385589 0.000000 0.000000 0.000000 0.923137 0.384471
1762813656.998653412 -1.793432 3.367374 0.000000 0.000000 0.000000 0.954157 0.299306
1762813657.619909525 -2.007627 3.325983 0.000000 0.000000 0.000000 0.979608 0.200919
1762813658.290442467 -2.013522 3.324986 0.000000 0.000000 0.000000 0.996754 0.080507
1762813658.901652813 -2.327346 3.175737 0.000000 0.000000 0.000000 -0.999719 0.023708
1762813659.559781790 -2.337449 3.097846 0.000000 0.000000 0.000000 -0.990042 0.140770
1762813660.151472092 -2.400251 3.098492 0.000000 0.000000 0.000000 -0.968005 0.250932
1762813660.768803120 -2.431191 3.155685 0.000000 0.000000 0.000000 -0.908039 0.418885
